지역,umdNm,aptNm,kaptCode,matchType,세대수,시공사,동수,사용승인일
서울 종로구,무악동,현대,A11081503,contains_ambiguous,964.0,현대건설,12,20001021
서울 종로구,숭인동,종로센트레빌,A11087602,exact,416.0,동부건설,6,20081121
서울 중구,신당동,남산타운,A10045301,contains_ambiguous,2034.0,동아건설,7,20020525
서울 중구,신당동,신당푸르지오,A10045001,exact,461.0,대우건설(주),9,20051228
서울 중구,신당동,삼성,A10045401,contains_ambiguous,440.0,삼성물산,3,19991222
서울 중구,중림동,삼성사이버빌리지,A10085903,contains,712.0,삼성물산,12,20010711
서울 중구,신당동,한진해모로,,no_match,,,,
서울 중구,신당동,래미안하이베르,,no_match,,,,
서울 중구,입정동,힐스테이트세운센트럴2단지,A10023343,exact,608.0,현대엔지니어링(주),1,20230307
서울 중구,만리동2가,서울역센트럴자이,A10026881,exact,1341.0,GS건설주식회사,14,20170807
서울 중구,입정동,힐스테이트세운센트럴1단지,A10023356,exact,414.0,(주)현대엔지니어링,1,20230224
서울 용산구,산천동,한강타운,A14004001,exact,289.0,한진건설(주),3,20010222
서울 용산구,산천동,리버힐삼성,A14004002,exact,1102.0,삼성물산,14,20010110
서울 용산구,원효로4가,강변삼성스위트,A14085101,contains,300.0,삼성중공업,3,19991224
서울 용산구,원효로1가,용산더프라임,A14070302,exact,589.0,동아건설,3,20140217
서울 용산구,한남동,시범,,no_match,,,,
서울 용산구,도원동,삼성래미안,A14007002,contains,1458.0,삼성,15,20010803
서울 용산구,한남동,리버탑,A10023379,contains,119.0,신영토건주식회사,1,20010403
서울 용산구,용문동,브라운스톤,A14083101,contains,195.0,이수건설(주),4,20110705
서울 용산구,이촌동,강변,,no_match,,,,
서울 용산구,효창동,세양청마루,,no_match,,,,
서울 용산구,이촌동,이촌시범,A14072702,contains,834.0,코오롤건설,10,19991101
서울 용산구,효창동,효창파크푸르지오,A14074101,exact,307.0,대우건설(주),7,20100831
서울 성동구,금호동4가,서울숲르씨엘,A10020977,exact,108.0,제이앤이건설주식회사,2,20230331
서울 성동구,성수동1가,동아그린,A13384304,contains,331.0,동아건설산업,2,19990611
서울 성동구,성수동2가,금호타운2차아파트,A10022325,contains,141.0,금호건설,1,19970814
서울 성동구,응봉동,신동아,A13385303,contains,434.0,신동아건설(주),4,19960409
서울 성동구,마장동,대성유니드,A13305002,contains,248.0,대성산업,4,20041130
서울 성동구,마장동,현대,A13381608,contains,1017.0,고려산업개발(주),11,19980414
서울 성동구,금호동1가,벽산,A13380104,contains_ambiguous,1707.0,벽산,20,20011203
서울 성동구,성수동2가,성수우방2차아파트,A13383301,exact,221.0,우방건설,1,19991208
서울 성동구,행당동,대림e-편한세상,A13307204,dedong,2399.0,대림산업,31,20001230
서울 성동구,하왕십리동,극동미라주,A13302203,contains_ambiguous,414.0,극동건설,3,20011214
