지역,umdNm,aptNm,buildYear,addr_display,lat,lon,match_query
경기 성남시 분당구,구미동,까치마을(2단지)(주공),1995,미금일로,37.3473649,127.107228,대한민국 경기 성남시 분당구 구미동 미금일로
경기 성남시 분당구,구미동,까치마을(3단지)(신원),1995,미금로,37.353406,127.1101242,대한민국 경기 성남시 분당구 구미동 미금로
경기 성남시 분당구,구미동,무지개(12단지)(주공),1995,미금로22번길,37.3366417,127.118818,대한민국 경기 성남시 분당구 구미동 미금로22번길
경기 성남시 분당구,구미동,무지개(4단지)(주공),1995,미금로,37.353406,127.1101242,대한민국 경기 성남시 분당구 구미동 미금로
경기 성남시 분당구,구미동,무지개(5단지)(청구),1995,무지개로,37.3390188,127.1134483,대한민국 경기 성남시 분당구 구미동 무지개로
경기 성남시 분당구,금곡동,청솔마을(공무원),1994,금곡로,37.36077,127.0974,대한민국 경기 성남시 분당구 금곡동
경기 성남시 분당구,금곡동,청솔마을(한라),1995,정자일로,37.3619161,127.1059814,대한민국 경기 성남시 분당구 금곡동 정자일로
경기 성남시 분당구,분당동,샛별마을(동성),1992,분당로,37.3676699,127.1451726,대한민국 경기 성남시 분당구 분당동 분당로
경기 성남시 분당구,분당동,샛별마을(라이프),1992,분당로,37.3676699,127.1451726,대한민국 경기 성남시 분당구 분당동 분당로
경기 성남시 분당구,분당동,샛별마을(삼부),1992,수내로,37.36944,127.14336,대한민국 경기 성남시 분당구 분당동
경기 성남시 분당구,서현동,효자촌(임광),1992,불정로,37.3770774,127.1407084,대한민국 경기 성남시 분당구 서현동 불정로
경기 성남시 분당구,수내동,"양지마을(6단지)(금호,청구)",1992,내정로165번길,37.3743436,127.1188895,대한민국 경기 성남시 분당구 수내동 내정로165번길
경기 성남시 분당구,수내동,양지마을(6단지)(한양603동),1993,내정로173번길,37.3758676,127.1179157,대한민국 경기 성남시 분당구 수내동 내정로173번길
경기 성남시 분당구,수내동,파크타운(대림),1993,내정로166번길,37.3718256,127.1210225,대한민국 경기 성남시 분당구 수내동 내정로166번길
경기 성남시 분당구,수내동,파크타운(서안),1993,내정로174번길,37.372407,127.1218238,대한민국 경기 성남시 분당구 수내동 내정로174번길
경기 성남시 분당구,수내동,푸른마을(벽산),1992,수내로,37.3743139,127.1228406,대한민국 경기 성남시 분당구 수내동 수내로
경기 성남시 분당구,수내동,푸른마을(신성),1992,수내로,37.3743139,127.1228406,대한민국 경기 성남시 분당구 수내동 수내로
경기 성남시 분당구,수내동,푸른마을(쌍용),1992,백현로,37.3751296,127.1127944,대한민국 경기 성남시 분당구 수내동 백현로
경기 성남시 분당구,야탑동,매화마을공무원1,1995,매화로,37.40583,127.14583,대한민국 경기 성남시 분당구 야탑동
경기 성남시 분당구,야탑동,매화마을공무원2,1995,장미로,37.4134102,127.1331511,대한민국 경기 성남시 분당구 야탑동 장미로
경기 성남시 분당구,야탑동,장미마을(동부),1993,장미로,37.4134102,127.1331511,대한민국 경기 성남시 분당구 야탑동 장미로
경기 성남시 분당구,야탑동,장미마을(코오롱)1,1993,장미로,37.4134102,127.1331511,대한민국 경기 성남시 분당구 야탑동 장미로
경기 성남시 분당구,야탑동,장미마을(현대),1993,장미로,37.4134102,127.1331511,대한민국 경기 성남시 분당구 야탑동 장미로
경기 성남시 분당구,야탑동,탑마을(경남)1,1994,판교로,37.4051627,127.1493982,대한민국 경기 성남시 분당구 야탑동 판교로
경기 성남시 분당구,야탑동,탑마을(벽산),1994,야탑로,37.4061327,127.150638,대한민국 경기 성남시 분당구 야탑동 야탑로
경기 성남시 분당구,운중동,산운마을11단지(판교포레라움),2009,판교원로,37.3897305,127.0717168,대한민국 경기 성남시 분당구 운중동 판교원로
경기 성남시 분당구,운중동,산운마을12단지판교센트럴포레와이시티,2009,판교원로,37.3897305,127.0717168,대한민국 경기 성남시 분당구 운중동 판교원로
경기 성남시 분당구,운중동,산운마을8단지(부영사랑으로),2008,산운로,37.3931243,127.0732383,대한민국 경기 성남시 분당구 운중동 산운로
경기 성남시 분당구,이매동,아름마을(두산),1992,탄천로,37.3936559,127.1231283,대한민국 경기 성남시 분당구 이매동 탄천로
경기 성남시 분당구,이매동,아름마을(삼호),1992,탄천로,37.3936559,127.1231283,대한민국 경기 성남시 분당구 이매동 탄천로
경기 성남시 분당구,이매동,아름마을(한성),1992,판교로,37.39594,127.13327,대한민국 경기 성남시 분당구 이매동
경기 성남시 분당구,이매동,이매촌(삼성),1994,양현로,37.4012518,127.1254116,대한민국 경기 성남시 분당구 이매동 양현로
경기 성남시 분당구,이매동,이매촌(삼환),1994,양현로,37.4012518,127.1254116,대한민국 경기 성남시 분당구 이매동 양현로
경기 성남시 분당구,정자동,더샵분당파크리버,2021,돌마로,37.3565593,127.1190664,대한민국 경기 성남시 분당구 정자동 돌마로
경기 성남시 분당구,정자동,한솔마을(6단지)(주공),1995,내정로,37.3694096,127.1147785,대한민국 경기 성남시 분당구 정자동 내정로
경기 성남시 분당구,판교동,판교원마을6단지(판교대광로제비앙),2009,판교원로,37.3865512,127.0868189,대한민국 경기 성남시 분당구 판교동 판교원로
경기 성남시 수정구,단대동,단대푸르지오,2012,산성대로437번길,37.4513114,127.1577003,대한민국 경기 성남시 수정구 단대동 산성대로437번길
경기 성남시 수정구,신흥동,산성역자이푸르지오1단지,2024,수정로,37.445533,127.144838,대한민국 경기 성남시 수정구 신흥동 수정로
경기 성남시 수정구,신흥동,산성역자이푸르지오2단지,2024,수정로,37.445533,127.144838,대한민국 경기 성남시 수정구 신흥동 수정로
경기 성남시 수정구,신흥동,산성역자이푸르지오3단지,2024,희망로,37.4460317,127.1559039,대한민국 경기 성남시 수정구 신흥동 희망로
경기 성남시 수정구,신흥동,산성역포레스티아,2020,수정로,37.445533,127.144838,대한민국 경기 성남시 수정구 신흥동 수정로
경기 성남시 중원구,금광동,e편한세상금빛그랑메종1단지,2023,금광로,37.4439413,127.1637913,대한민국 경기 성남시 중원구 금광동 금광로
경기 성남시 중원구,금광동,e편한세상금빛그랑메종2단지,2023,금광로,37.4439413,127.1637913,대한민국 경기 성남시 중원구 금광동 금광로
경기 성남시 중원구,금광동,e편한세상금빛그랑메종3단지,2023,금광로,37.4439413,127.1637913,대한민국 경기 성남시 중원구 금광동 금광로
경기 성남시 중원구,금광동,e편한세상금빛그랑메종4단지,2023,금광로,37.4439413,127.1637913,대한민국 경기 성남시 중원구 금광동 금광로
경기 성남시 중원구,금광동,e편한세상금빛그랑메종5단지,2023,금광로,37.4439413,127.1637913,대한민국 경기 성남시 중원구 금광동 금광로
경기 성남시 중원구,여수동,산들마을2단지,2015,여수울로,37.4187789,127.1332136,대한민국 경기 성남시 중원구 여수동 여수울로
